,Rooms,Type,Distance,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount,Comercio y servicios,Restauración y vida social,Transporte y conectividad,Cultura y recreación,Financiero,Espiritual y comunitario,Salud,Educación,metodo,target,dif_fechas
7007,3.0,h,14.6,3.0,2.0,1.0,7.415776975415394,Kingston City Council,Southern Metropolitan,2555.0,10.0,2.0,30.0,4.0,1.0,3.0,1.0,1.0,prop_vendida,13.82347971967645,4.04305126783455
7008,2.0,h,14.6,2.0,1.0,2.0,6.630683385642372,Kingston City Council,Southern Metropolitan,2555.0,10.0,5.0,38.0,3.0,0.0,4.0,1.0,1.0,prop_vendida,13.990304687967647,4.204692619390966
7009,4.0,h,14.6,4.0,1.0,2.0,6.461468176353717,Kingston City Council,Southern Metropolitan,2555.0,17.0,6.0,11.0,2.0,1.0,2.0,1.0,0.0,prop_vendida,13.937729075643883,3.8066624897703196
7010,2.0,h,14.6,2.0,1.0,1.0,5.351858133476067,Kingston City Council,Southern Metropolitan,2555.0,8.0,2.0,24.0,3.0,0.0,4.0,1.0,0.0,prop_vendida,13.561909087824318,2.70805020110221
7011,4.0,h,14.6,3.0,1.0,2.0,6.536691597591305,Kingston City Council,Southern Metropolitan,2555.0,10.0,6.0,47.0,3.0,1.0,5.0,1.0,1.0,prop_vendida,13.849912950864715,4.204692619390966
7012,3.0,h,14.6,3.0,1.0,1.0,6.484635235635252,Kingston City Council,Southern Metropolitan,2555.0,8.0,1.0,18.0,3.0,0.0,4.0,1.0,0.0,prop_vendida,13.732130035981154,0.0
7013,4.0,h,14.6,4.0,2.0,2.0,6.380122536899765,Kingston City Council,Southern Metropolitan,2555.0,8.0,1.0,20.0,3.0,0.0,4.0,1.0,0.0,prop_vendida,13.963931425151141,1.791759469228055
7014,3.0,h,14.6,3.0,1.0,2.0,6.29156913955832,Kingston City Council,Southern Metropolitan,2555.0,7.0,5.0,32.0,2.0,0.0,3.0,0.0,0.0,prop_transferida,13.623139877437296,0.0
7015,3.0,t,14.6,3.0,2.0,1.0,0.6931471805599453,Kingston City Council,Southern Metropolitan,2555.0,11.0,6.0,12.0,2.0,1.0,2.0,1.0,0.0,prop_vendida,13.592368256649284,2.8903717578961645
7017,1.0,u,14.6,1.0,1.0,1.0,0.6931471805599453,Kingston City Council,Southern Metropolitan,2555.0,26.0,9.0,18.0,1.0,1.0,2.0,1.0,0.0,puja_del_vendedor,12.388398368982115,3.8501476017100584
7018,4.0,t,14.6,3.0,2.0,2.0,5.402677381872279,Kingston City Council,Southern Metropolitan,2555.0,12.0,2.0,40.0,3.0,1.0,2.0,3.0,1.0,prop_vendida,13.915356797910956,0.6931471805599453
7019,3.0,h,8.4,3.0,2.0,2.0,5.713732805509369,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,6.0,21.0,4.0,1.0,0.0,1.0,1.0,prop_vendida_prev,13.840204146163925,0.0
7020,3.0,h,8.4,2.0,1.0,2.0,5.645446897643238,Hobsons Bay City Council,Western Metropolitan,5498.0,0.0,1.0,12.0,1.0,0.0,1.0,0.0,0.0,prop_vendida,13.624351263156136,4.0943445622221
7021,3.0,h,8.4,3.0,2.0,2.0,5.278114659230517,Hobsons Bay City Council,Western Metropolitan,5498.0,23.0,5.0,36.0,3.0,1.0,0.0,1.0,1.0,prop_vendida_prev,13.710151153416941,1.9459101490553132
7023,3.0,t,8.4,3.0,2.0,2.0,5.652489180268651,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,4.0,28.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.776770769148342,1.791759469228055
7024,2.0,h,8.4,2.0,1.0,1.0,5.5053315359323625,Hobsons Bay City Council,Western Metropolitan,5498.0,15.0,3.0,27.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.592368256649284,4.356708826689592
7028,3.0,h,8.4,3.0,2.0,2.0,0.6931471805599453,Hobsons Bay City Council,Western Metropolitan,5498.0,2.0,1.0,16.0,0.0,0.0,1.0,1.0,0.0,prop_vendida,13.573440270649085,1.6094379124341003
7031,4.0,h,8.4,4.0,1.0,2.0,5.802118375377063,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,5.0,27.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.47302165746721,4.127134385045092
7032,3.0,h,8.4,3.0,2.0,2.0,5.697093486505405,Hobsons Bay City Council,Western Metropolitan,5498.0,23.0,5.0,26.0,3.0,1.0,1.0,1.0,1.0,puja_del_vendedor,13.732130035981154,4.672828834461906
7033,4.0,h,8.4,3.0,2.0,1.0,5.942799375126701,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,6.0,22.0,4.0,1.0,0.0,1.0,1.0,puja_del_vendedor,13.753636218075409,4.465908118654584
7034,3.0,h,8.4,2.0,2.0,1.0,5.19295685089021,Hobsons Bay City Council,Western Metropolitan,5498.0,3.0,1.0,27.0,0.0,0.0,1.0,1.0,0.0,prop_vendida,13.39361266824666,2.0794415416798357
7035,4.0,h,8.4,4.0,3.0,2.0,5.459585514144159,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,6.0,25.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.894322662602555,1.791759469228055
7037,3.0,h,8.4,3.0,1.0,1.0,6.306275286948016,Hobsons Bay City Council,Western Metropolitan,5498.0,16.0,5.0,20.0,4.0,1.0,0.0,1.0,0.0,prop_vendida_prev,14.006131744018864,4.574710978503383
7039,3.0,h,8.4,3.0,1.0,1.0,6.326149473155099,Hobsons Bay City Council,Western Metropolitan,5498.0,9.0,3.0,54.0,0.0,0.0,1.0,1.0,1.0,prop_vendida,13.68767832281738,4.204692619390966
7042,4.0,h,8.4,4.0,1.0,3.0,6.63200177739563,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,6.0,22.0,4.0,1.0,0.0,1.0,1.0,prop_transferida,14.04662307257814,4.04305126783455
7043,3.0,h,8.4,3.0,2.0,3.0,7.8336002236611035,Hobsons Bay City Council,Western Metropolitan,5498.0,5.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,prop_transferida,14.151983508870947,2.3978952727983707
7044,3.0,h,8.4,3.0,1.0,2.0,5.762051382780177,Hobsons Bay City Council,Western Metropolitan,5498.0,5.0,3.0,19.0,1.0,0.0,0.0,0.0,1.0,prop_vendida_prev,13.81049902116535,4.04305126783455
7047,4.0,h,8.4,4.0,1.0,4.0,6.643789733147672,Hobsons Bay City Council,Western Metropolitan,5498.0,24.0,5.0,39.0,3.0,1.0,0.0,1.0,0.0,prop_vendida,14.137594781770806,0.0
7048,3.0,h,8.4,3.0,2.0,0.0,5.746203190540153,Hobsons Bay City Council,Western Metropolitan,5498.0,4.0,4.0,18.0,1.0,2.0,0.0,0.0,1.0,prop_vendida,14.014362236381235,4.574710978503383
7049,3.0,h,8.4,3.0,1.0,1.0,5.231108616854587,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,5.0,30.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.573440270649085,0.0
7052,2.0,h,8.4,2.0,1.0,1.0,6.0014148779611505,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,5.0,27.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.776770769148342,4.574710978503383
7053,4.0,h,8.4,3.0,3.0,2.0,5.389071729816501,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,10.0,37.0,0.0,0.0,1.0,1.0,1.0,prop_transferida,13.664688831019712,0.0
7054,5.0,h,8.4,5.0,3.0,2.0,6.52649485957079,Hobsons Bay City Council,Western Metropolitan,5498.0,21.0,5.0,35.0,4.0,1.0,1.0,1.0,1.0,prop_vendida,14.014362236381235,0.0
7055,3.0,h,8.4,3.0,1.0,1.0,5.733341276897746,Hobsons Bay City Council,Western Metropolitan,5498.0,24.0,5.0,36.0,3.0,1.0,0.0,1.0,0.0,prop_vendida_prev,13.742940940397677,0.0
7056,3.0,h,8.4,3.0,2.0,1.0,5.84354441703136,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,5.0,30.0,4.0,1.0,0.0,1.0,1.0,prop_vendida_prev,13.742940940397677,0.0
7057,3.0,h,8.4,3.0,2.0,1.0,0.6931471805599453,Hobsons Bay City Council,Western Metropolitan,5498.0,9.0,3.0,52.0,0.0,0.0,2.0,1.0,1.0,prop_vendida_prev,13.592368256649284,3.8501476017100584
7058,3.0,h,8.4,3.0,1.0,0.0,5.883322388488279,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,5.0,25.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,14.081714365022162,4.762173934797756
7059,3.0,h,8.4,3.0,1.0,4.0,6.400257445308821,Hobsons Bay City Council,Western Metropolitan,5498.0,8.0,2.0,18.0,2.0,0.0,0.0,0.0,0.0,prop_vendida_prev,13.87378040948403,0.0
7060,2.0,u,8.4,2.0,1.0,1.0,0.6931471805599453,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,6.0,29.0,3.0,1.0,0.0,1.0,1.0,prop_vendida,13.091906231773164,1.791759469228055
7061,3.0,h,8.4,3.0,2.0,1.0,5.420534999272286,Hobsons Bay City Council,Western Metropolitan,5498.0,23.0,7.0,44.0,3.0,1.0,1.0,1.0,0.0,prop_vendida,13.76421831620775,0.0
7062,2.0,h,8.4,2.0,1.0,1.0,5.583496308781699,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,5.0,26.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.721200977393528,0.0
7064,3.0,h,8.4,3.0,1.0,1.0,5.971261839790462,Hobsons Bay City Council,Western Metropolitan,5498.0,12.0,3.0,24.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.60479076121576,3.8501476017100584
7065,3.0,h,8.4,3.0,1.0,3.0,5.8998973535824915,Hobsons Bay City Council,Western Metropolitan,5498.0,6.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,prop_vendida,13.561909087824318,0.0
7066,3.0,h,8.4,3.0,1.0,2.0,6.220590170099739,Hobsons Bay City Council,Western Metropolitan,5498.0,26.0,10.0,41.0,3.0,1.0,1.0,1.0,0.0,prop_vendida,13.818008435668599,0.0
7067,3.0,h,8.4,3.0,1.0,3.0,6.47543271670409,Hobsons Bay City Council,Western Metropolitan,5498.0,7.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,prop_vendida,13.601699572468275,0.0
7068,2.0,h,8.4,1.0,1.0,3.0,6.3561076606958915,Hobsons Bay City Council,Western Metropolitan,5498.0,16.0,5.0,20.0,4.0,1.0,0.0,1.0,0.0,prop_vendida,13.928840136128022,0.0
7069,3.0,h,8.4,2.0,2.0,2.0,5.645446897643238,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,6.0,30.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.76421831620775,4.204692619390966
7070,4.0,h,8.4,4.0,3.0,1.0,6.056784013228625,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,5.0,30.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,14.297937324492327,0.6931471805599453
7071,3.0,h,8.4,3.0,1.0,0.0,5.407171771460119,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,6.0,27.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.73538559690802,4.762173934797756
7072,2.0,h,8.4,2.0,1.0,2.0,6.156978985585555,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,5.0,28.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.845070331079134,4.465908118654584
7073,3.0,h,8.4,3.0,2.0,2.0,5.655991810819852,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,5.0,31.0,4.0,1.0,0.0,1.0,1.0,prop_vendida_prev,13.860484879629492,4.844187086458591
7075,3.0,h,8.4,3.0,1.0,2.0,5.598421958998375,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,5.0,27.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.481436842589853,0.0
7076,2.0,h,8.4,2.0,2.0,1.0,5.3706380281276624,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,4.0,27.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.51440681653079,2.3978952727983707
7077,4.0,h,8.4,3.0,1.0,1.0,6.431331081933479,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,6.0,26.0,3.0,1.0,1.0,1.0,1.0,prop_vendida,13.785052381406869,4.624972813284271
7078,3.0,t,8.4,3.0,2.0,2.0,0.6931471805599453,Hobsons Bay City Council,Western Metropolitan,5498.0,7.0,2.0,21.0,1.0,0.0,1.0,1.0,0.0,prop_vendida,13.507627138738266,2.302585092994046
7079,2.0,h,8.4,2.0,1.0,2.0,6.115892125483034,Hobsons Bay City Council,Western Metropolitan,5498.0,10.0,3.0,50.0,0.0,0.0,1.0,1.0,1.0,prop_vendida,13.54370314700388,0.0
7080,2.0,u,8.4,2.0,1.0,1.0,0.6931471805599453,Hobsons Bay City Council,Western Metropolitan,5498.0,24.0,5.0,37.0,4.0,1.0,1.0,1.0,0.0,prop_vendida_prev,13.091906231773164,2.3978952727983707
7081,3.0,h,8.4,3.0,1.0,2.0,6.12029741895095,Hobsons Bay City Council,Western Metropolitan,5498.0,13.0,3.0,29.0,2.0,1.0,1.0,2.0,0.0,prop_vendida,13.76421831620775,4.204692619390966
7082,4.0,h,8.4,4.0,2.0,1.0,6.131226489483141,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,5.0,29.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,14.062371417145494,4.465908118654584
7084,4.0,h,8.4,3.0,2.0,2.0,5.707110264748875,Hobsons Bay City Council,Western Metropolitan,5498.0,6.0,1.0,19.0,2.0,0.0,0.0,0.0,0.0,prop_vendida,13.854732232655556,2.5649493574615367
7085,2.0,h,8.4,2.0,1.0,0.0,5.713732805509369,Hobsons Bay City Council,Western Metropolitan,5498.0,16.0,4.0,26.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.73430158713684,0.0
7086,5.0,h,8.4,3.0,3.0,2.0,6.690842277418564,Hobsons Bay City Council,Western Metropolitan,5498.0,5.0,3.0,16.0,1.0,0.0,0.0,0.0,1.0,prop_vendida,14.697210259147399,0.0
7089,4.0,h,8.4,4.0,1.0,1.0,0.6931471805599453,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,5.0,29.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.924365859736941,4.927253685157205
7090,3.0,h,8.4,3.0,2.0,2.0,6.3578422665081,Hobsons Bay City Council,Western Metropolitan,5498.0,14.0,3.0,26.0,4.0,1.0,0.0,0.0,1.0,prop_vendida,14.331324320256051,0.0
7091,3.0,h,8.4,3.0,1.0,2.0,6.645090969505644,Hobsons Bay City Council,Western Metropolitan,5498.0,3.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,prop_vendida,13.977630257780485,4.04305126783455
7093,4.0,h,8.4,5.0,2.0,2.0,6.654152520183219,Hobsons Bay City Council,Western Metropolitan,5498.0,21.0,6.0,46.0,3.0,1.0,2.0,1.0,1.0,prop_vendida,14.05058347065728,4.204692619390966
7094,2.0,h,8.4,1.0,1.0,1.0,5.84354441703136,Hobsons Bay City Council,Western Metropolitan,5498.0,24.0,5.0,35.0,4.0,1.0,0.0,1.0,1.0,prop_vendida_prev,13.593617474489168,4.574710978503383
7095,3.0,h,8.4,3.0,1.0,2.0,6.650279048587422,Hobsons Bay City Council,Western Metropolitan,5498.0,12.0,3.0,28.0,4.0,1.0,1.0,1.0,0.0,prop_vendida,13.98525417643287,0.0
7096,3.0,t,8.4,3.0,2.0,2.0,5.420534999272286,Hobsons Bay City Council,Western Metropolitan,5498.0,2.0,1.0,21.0,0.0,0.0,1.0,1.0,0.0,prop_vendida,13.554147092530322,0.6931471805599453
7097,3.0,h,8.4,3.0,2.0,0.0,5.66988092298052,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,6.0,22.0,4.0,1.0,0.0,1.0,1.0,prop_vendida_prev,13.997832948091215,0.0
7098,3.0,h,8.4,3.0,2.0,2.0,5.857933154483459,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,5.0,29.0,4.0,1.0,0.0,1.0,1.0,prop_vendida_prev,13.808486950076148,4.762173934797756
7099,3.0,h,8.4,3.0,1.0,1.0,6.326149473155099,Hobsons Bay City Council,Western Metropolitan,5498.0,7.0,1.0,43.0,0.0,0.0,2.0,1.0,0.0,prop_vendida_prev,13.711261646467772,0.0
7100,2.0,h,8.4,2.0,1.0,1.0,5.017279836814924,Hobsons Bay City Council,Western Metropolitan,5498.0,5.0,3.0,19.0,3.0,0.0,0.0,0.0,1.0,prop_vendida_prev,13.384729180332174,4.844187086458591
7102,3.0,h,8.4,3.0,1.0,0.0,5.846438775057725,Hobsons Bay City Council,Western Metropolitan,5498.0,23.0,5.0,33.0,4.0,1.0,0.0,1.0,1.0,prop_vendida_prev,13.700661837989694,4.574710978503383
7103,4.0,h,8.4,4.0,2.0,2.0,6.63200177739563,Hobsons Bay City Council,Western Metropolitan,5498.0,1.0,3.0,17.0,1.0,2.0,0.0,0.0,0.0,prop_transferida,15.045151401436407,4.875197323201151
7105,3.0,h,8.4,3.0,1.0,2.0,5.780743515792329,Hobsons Bay City Council,Western Metropolitan,5498.0,23.0,5.0,29.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.598598798635953,4.465908118654584
7106,2.0,h,8.4,2.0,1.0,1.0,5.442417710521793,Hobsons Bay City Council,Western Metropolitan,5498.0,24.0,7.0,45.0,3.0,1.0,1.0,1.0,0.0,prop_vendida_prev,13.429849547739444,2.833213344056216
7107,4.0,t,8.4,4.0,3.0,2.0,5.407171771460119,Hobsons Bay City Council,Western Metropolitan,5498.0,2.0,1.0,21.0,0.0,0.0,1.0,1.0,0.0,prop_vendida,13.62616559469184,0.0
7108,2.0,h,8.4,2.0,1.0,1.0,4.983606621708336,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,5.0,28.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.583579761650238,3.091042453358316
7110,3.0,h,8.4,3.0,1.0,1.0,6.113682179832232,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,6.0,24.0,4.0,1.0,0.0,1.0,1.0,prop_vendida_prev,13.803438988875241,0.0
7112,3.0,t,8.4,3.0,2.0,2.0,6.626717749249025,Hobsons Bay City Council,Western Metropolitan,5498.0,24.0,5.0,37.0,4.0,1.0,1.0,1.0,0.0,prop_vendida,13.523821802802145,2.4849066497880004
7113,3.0,h,8.4,3.0,1.0,2.0,6.278521424165844,Hobsons Bay City Council,Western Metropolitan,5498.0,3.0,1.0,30.0,0.0,0.0,1.0,1.0,0.0,prop_vendida,13.721200977393528,0.0
7114,2.0,h,8.4,2.0,1.0,0.0,5.700443573390687,Hobsons Bay City Council,Western Metropolitan,5498.0,3.0,3.0,19.0,1.0,4.0,0.0,1.0,1.0,prop_vendida,13.705696808027874,4.762173934797756
7116,2.0,h,8.4,2.0,1.0,0.0,5.135798437050262,Hobsons Bay City Council,Western Metropolitan,5498.0,17.0,4.0,26.0,4.0,1.0,0.0,1.0,1.0,prop_vendida_prev,13.698977865303197,4.770684624465665
7117,3.0,h,8.4,3.0,1.0,3.0,6.230481447578482,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,6.0,24.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.99699926803766,0.0
7119,3.0,h,8.4,3.0,2.0,1.0,5.68697535633982,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,5.0,30.0,4.0,1.0,0.0,1.0,1.0,prop_vendida_prev,13.910821646859095,0.0
7120,5.0,h,8.4,5.0,2.0,4.0,6.926577033222725,Hobsons Bay City Council,Western Metropolitan,5498.0,24.0,6.0,44.0,3.0,1.0,1.0,1.0,0.0,prop_vendida,14.516130249640712,0.0
7121,4.0,t,8.4,4.0,3.0,3.0,5.634789603169249,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,4.0,28.0,4.0,1.0,0.0,1.0,1.0,prop_transferida,13.742940940397677,2.0794415416798357
7123,3.0,h,8.4,2.0,1.0,5.0,6.35088571671474,Hobsons Bay City Council,Western Metropolitan,5498.0,20.0,6.0,22.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.956142556513372,4.574710978503383
7125,4.0,t,8.4,4.0,2.0,2.0,6.626717749249025,Hobsons Bay City Council,Western Metropolitan,5498.0,24.0,5.0,37.0,4.0,1.0,1.0,1.0,0.0,prop_vendida,13.617060838751888,2.3978952727983707
7127,2.0,u,8.4,2.0,1.0,1.0,5.2574953720277815,Hobsons Bay City Council,Western Metropolitan,5498.0,17.0,4.0,32.0,4.0,1.0,1.0,1.0,1.0,prop_vendida_prev,13.415034483903348,0.0
7128,3.0,h,8.4,3.0,1.0,2.0,6.391917113392602,Hobsons Bay City Council,Western Metropolitan,5498.0,5.0,2.0,36.0,0.0,0.0,1.0,1.0,0.0,prop_vendida,13.854732232655556,0.0
7129,4.0,h,8.4,4.0,2.0,3.0,6.293419278846481,Hobsons Bay City Council,Western Metropolitan,5498.0,24.0,8.0,41.0,3.0,1.0,1.0,1.0,0.0,prop_vendida,14.09010815074553,2.833213344056216
7130,2.0,h,8.4,2.0,1.0,1.0,5.75890177387728,Hobsons Bay City Council,Western Metropolitan,5498.0,9.0,3.0,18.0,3.0,1.0,0.0,1.0,1.0,prop_vendida,13.61217085943569,4.465908118654584
7131,3.0,h,8.4,4.0,2.0,1.0,6.192362489474872,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,4.0,27.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.758941264676379,0.0
7132,1.0,h,8.4,1.0,1.0,0.0,4.875197323201151,Hobsons Bay City Council,Western Metropolitan,5498.0,5.0,3.0,19.0,3.0,0.0,0.0,0.0,1.0,prop_vendida_prev,13.37498961155822,4.762173934797756
7133,2.0,h,8.4,2.0,1.0,2.0,5.54907608489522,Hobsons Bay City Council,Western Metropolitan,5498.0,22.0,5.0,29.0,4.0,1.0,0.0,1.0,1.0,prop_vendida,13.541075028051122,4.465908118654584
7134,7.0,h,8.4,6.0,2.0,4.0,6.499787040655854,Hobsons Bay City Council,Western Metropolitan,5498.0,23.0,6.0,28.0,3.0,1.0,1.0,1.0,1.0,prop_vendida,13.688814039991453,4.574710978503383
7135,3.0,h,8.4,3.0,2.0,2.0,5.8916442118257715,Hobsons Bay City Council,Western Metropolitan,5498.0,25.0,9.0,33.0,3.0,1.0,1.0,1.0,0.0,prop_vendida_prev,13.710151153416941,1.3862943611198906
7136,3.0,t,11.2,3.0,3.0,2.0,5.720311776607412,Moonee Valley City Council,Western Metropolitan,2291.0,6.0,3.0,31.0,3.0,1.0,1.0,1.0,0.0,prop_vendida,13.629182184591333,1.3862943611198906
7138,3.0,h,11.2,3.0,2.0,2.0,5.62040086571715,Moonee Valley City Council,Western Metropolitan,2291.0,9.0,4.0,45.0,2.0,1.0,1.0,1.0,0.0,prop_transferida,13.567050480716235,0.0
7141,3.0,h,11.2,3.0,1.0,2.0,6.480044561926653,Moonee Valley City Council,Western Metropolitan,2291.0,6.0,3.0,30.0,2.0,1.0,1.0,1.0,0.0,prop_transferida,13.83531416565213,0.0
7142,1.0,h,11.2,1.0,1.0,1.0,6.742880635791903,Moonee Valley City Council,Western Metropolitan,2291.0,1.0,2.0,8.0,3.0,0.0,1.0,0.0,0.0,prop_vendida,14.100690252077353,0.0
7143,4.0,h,11.2,4.0,2.0,2.0,6.480044561926653,Moonee Valley City Council,Western Metropolitan,2291.0,6.0,3.0,25.0,3.0,1.0,1.0,0.0,0.0,prop_vendida_prev,13.934182975780846,4.04305126783455
7144,3.0,h,11.2,3.0,2.0,1.0,0.6931471805599453,Moonee Valley City Council,Western Metropolitan,2291.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,prop_vendida,14.026582337760486,2.1972245773362196
7146,2.0,u,11.2,2.0,2.0,1.0,5.389071729816501,Moonee Valley City Council,Western Metropolitan,2291.0,1.0,2.0,8.0,3.0,0.0,1.0,0.0,0.0,prop_vendida,13.399996629152975,2.3978952727983707
7148,3.0,t,11.2,3.0,2.0,1.0,5.752572638825633,Moonee Valley City Council,Western Metropolitan,2291.0,5.0,0.0,27.0,4.0,0.0,0.0,1.0,1.0,prop_vendida,13.554147092530322,1.791759469228055
7149,3.0,h,11.2,3.0,2.0,2.0,5.855071922202427,Moonee Valley City Council,Western Metropolitan,2291.0,6.0,3.0,27.0,3.0,1.0,1.0,0.0,0.0,prop_vendida,13.705138617176864,0.0
7150,4.0,h,11.2,4.0,3.0,2.0,6.618738983517219,Moonee Valley City Council,Western Metropolitan,2291.0,5.0,2.0,30.0,4.0,1.0,1.0,0.0,0.0,prop_vendida_prev,14.115615891155079,3.4657359027997265
7151,3.0,t,11.2,3.0,2.0,1.0,5.442417710521793,Moonee Valley City Council,Western Metropolitan,2291.0,1.0,2.0,8.0,2.0,0.0,1.0,0.0,0.0,prop_transferida,13.617060838751888,1.6094379124341003
7153,2.0,t,11.2,2.0,1.0,1.0,5.476463551931511,Moonee Valley City Council,Western Metropolitan,2291.0,6.0,2.0,29.0,4.0,1.0,1.0,0.0,0.0,prop_vendida,13.333435966916156,0.0
7155,2.0,u,11.2,2.0,1.0,1.0,4.969813299576001,Moonee Valley City Council,Western Metropolitan,2291.0,6.0,3.0,33.0,2.0,1.0,1.0,1.0,0.0,prop_vendida,13.102162710901053,0.0
7156,3.0,u,11.2,3.0,2.0,1.0,0.6931471805599453,Moonee Valley City Council,Western Metropolitan,2291.0,3.0,4.0,19.0,1.0,1.0,1.0,0.0,0.0,prop_vendida,13.592368256649284,0.0
7158,3.0,h,11.2,3.0,1.0,1.0,6.576469569048224,Moonee Valley City Council,Western Metropolitan,2291.0,6.0,2.0,38.0,3.0,1.0,1.0,0.0,0.0,prop_vendida,13.80647082239335,4.219507705176107
7161,3.0,u,11.2,3.0,2.0,1.0,5.7745515455444085,Moonee Valley City Council,Western Metropolitan,2291.0,6.0,3.0,39.0,3.0,1.0,1.0,0.0,0.0,prop_vendida,13.785052381406869,0.0
7162,2.0,h,11.2,2.0,2.0,1.0,5.598421958998375,Moonee Valley City Council,Western Metropolitan,2291.0,4.0,0.0,26.0,4.0,0.0,0.0,0.0,1.0,prop_vendida,13.395440819535605,4.204692619390966
7164,3.0,h,11.2,3.0,2.0,1.0,5.765191102784844,Moonee Valley City Council,Western Metropolitan,2291.0,3.0,3.0,14.0,4.0,1.0,1.0,0.0,0.0,prop_vendida,13.47302165746721,4.204692619390966
7165,3.0,h,11.2,3.0,1.0,2.0,6.405228458030842,Moonee Valley City Council,Western Metropolitan,2291.0,1.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,prop_vendida,13.641158361294979,0.0
7166,3.0,h,11.2,3.0,1.0,1.0,6.714170529909472,Moonee Valley City Council,Western Metropolitan,2291.0,6.0,3.0,37.0,3.0,1.0,1.0,0.0,0.0,prop_vendida,13.790193775620484,0.0
7167,3.0,u,11.2,3.0,2.0,1.0,5.111987788356544,Moonee Valley City Council,Western Metropolitan,2291.0,1.0,2.0,8.0,2.0,0.0,1.0,0.0,0.0,prop_vendida_prev,13.304686600863562,0.0
7168,4.0,h,11.2,4.0,3.0,1.0,5.777652323222656,Moonee Valley City Council,Western Metropolitan,2291.0,5.0,2.0,23.0,4.0,1.0,1.0,0.0,0.0,puja_del_vendedor,13.681980308196241,0.0
7169,3.0,h,11.2,3.0,1.0,2.0,6.432940092739179,Moonee Valley City Council,Western Metropolitan,2291.0,7.0,2.0,21.0,3.0,0.0,0.0,2.0,2.0,prop_vendida,13.573440270649085,0.0
