direccion_completa,x,y
"Reservoir, 1/830 High St, 3073",-37.723765,145.006722
"Glenroy, 1/83 Daley St, 3046",-37.6975881,144.9311834
"South Kingsville, 1/83 Greene St, 3015",-37.8329231,144.8704889
"Mount Waverley, 183 Lawrence Rd, 3149",-37.8695922,145.1420952
"Glenroy, 1/83 Maude Av, 3046",-37.6995939,144.9358411
"South Morang, 18/3 Old Plenty Rd, 3752",-37.6457502,145.0923614
"Melbourne, 184/461 St Kilda Rd, 3000",-37.840736,144.9781421
"Ringwood East, 1/84 Dublin Rd, 3135",-37.8174611,145.247279
"St Albans, 1/84 Leonard Av, 3021",-37.7394093,144.8135586
"Ivanhoe, 1/84 Locksley Rd, 3079",-37.7680253,145.0497333
"Essendon, 1/84 Market St, 3040",-37.7424653,144.8967189
"Parkdale, 1/84 Warrigal Rd, 3195",-37.9857742,145.0709158
"Melbourne, 18/539 St Kilda Rd, 3000",-37.8456044,144.9794914
"Hawthorn, 18/563 Glenferrie Rd, 3122",-37.8269529,145.034289
"Brighton, 1/858 Hampton St, 3186",-37.911092,145.007676
"Elwood, 1/86 Dickens St, 3184",-37.8750243,144.9772565
"Northcote, 18/70 Gadd St, 3070",-37.7620926,144.9895661
"Heidelberg, 18/74 Darebin St, 3084",-37.7534732,145.0618492
"Malvern East, 1876 Malvern Rd, 3145",-37.8710635,145.0617522
"Richmond, 187A Burnley St, 3121",-37.8200909,145.0083924
"Glen Waverley, 1/88 Bogong Av, 3150",-37.8851605,145.1560658
"Rosanna, 1/88 Grandview Gr, 3084",-37.7380272,145.0625399
"Mount Waverley, 188 Lawrence Rd, 3149",-37.8702785,145.1427197
"Mordialloc, 1/89 Albert St, 3195",-38.0069284,145.0887867
"Thornbury, 189A Miller St, 3071",-37.750928,144.9852468
"Braybrook, 1/89 Hargreaves Cr, 3019",-37.7851164,144.8535006
"Caulfield North, 18/9 Hudson St, 3161",-37.879707,145.0332953
"Carrum, 1/89 McLeod Rd, 3197",-38.0724592,145.1328599
"Richmond, 18/9 Tennyson St, 3121",-37.8239847,144.9918238
"Ashburton, 18 Alamein Av, 3147",-37.8687588,145.0828019
"Coburg North, 18 Alexander Av, 3058",-37.7310196,144.9687772
"Abbotsford, 18a Mollison St, 3067",-37.8069817,144.9960902
"Point Cook, 1/8 Ancona Ct, 3030",-37.8887022,144.7388424
"Glenroy, 1/8 Apsley St, 3046",-37.7078525,144.9273542
"Melton West, 18 Arjun Av, 3337",-37.6698908,144.545617
"Seaford, 18 Bainbridge Av, 3198",-38.1279694,145.1314599
"Reservoir, 1/8 Barton St, 3073",-37.7115756,145.0051682
"Carnegie, 1/8 Beena Av, 3163",-37.8887485,145.0630626
"Maidstone, 1/8 Bernard St, 3012",-37.787853,144.8648042
"South Morang, 18 Bracken Wy, 3752",-37.6290883,145.0895959
"Doncaster, 18 Buckingham Cr, 3108",-37.7799698,145.1085979
"Hughesdale, 1/8 Calembeena Av, 3166",-37.9061222,145.0808514
"Kew East, 18 Cole Av, 3102",-37.7951815,145.0432473
"Altona North, 1/8 Conway Ct, 3025",-37.8296763,144.847324
"MacLeod, 18 Cooley Av, 3085",-37.7207805,145.0805482
"Coburg, 18 Craigrossie Av, 3058",-37.7513921,144.9564729
"Bentleigh East, 1/8 Deborah Av, 3165",-37.9229425,145.0600957
"Braybrook, 1/8 Dedrick Gr, 3019",-37.7839947,144.8472274
"Bentleigh East, 18 Dega Av, 3165",-37.9304132,145.0535286
"Epping, 18 Dryandra Av, 3076",-37.6477129,145.0429424
"Kew, 18 Finhaven Ct, 3101",-37.8095979,145.0161967
"Altona North, 1/8 Fourth Av, 3025",-37.8415928,144.850814
"Glen Iris, 18 Fuller Av, 3146",-37.8637104,145.0679159
"Bulleen, 18 Gisborne St, 3105",-37.7630007,145.0981778
"Camberwell, 18 Halley Av, 3124",-37.8467487,145.0709453
"Braybrook, 18 Hancock Cr, 3019",-37.7823161,144.8586434
"Greensborough, 1/8 Hart Av, 3088",-37.7090994,145.1060411
"Bundoora, 18 Janet Cr, 3083",-37.6890523,145.0632044
"Croydon Hills, 18 Lakeside Cr, 3136",-37.7710606,145.2640849
"Deer Park, 18 Laming Rd, 3023",-37.7583835,144.7720123
"Brunswick, 18 Lanark St, 3056",-37.7576559,144.9766512
"Avondale Heights, 18 Langham St, 3034",-37.7705831,144.8577805
"Moonee Ponds, 18 Laura St, 3039",-37.7674704,144.9164765
"Heidelberg Heights, 1/8 Lawson Pde, 3081",-37.743603,145.053954
"Essendon, 18 Lawson St, 3040",-37.7589629,144.9323631
"Balwyn, 18 Linckens Cr, 3103",-37.8080775,145.0860596
"Brunswick East, 18 Lord St, 3057",-37.7713336,144.9746597
"Reservoir, 18 Lucille Av, 3073",-37.7000512,145.022474
"Heidelberg Heights, 1/8 Mary Av, 3081",-37.7477865,145.0504346
"Oakleigh South, 18 Mimosa Av, 3167",-37.9127561,145.0977301
"Hoppers Crossing, 18 Moffatt Cr, 3029",-37.8774043,144.6983814
"Spotswood, 1/8 Morwick St, 3015",-37.8333543,144.886229
"Maribyrnong, 1/8 Newstead St, 3032",-37.7685228,144.8969829
"Frankston, 1/8 Nott Av, 3199",-38.148931,145.1289445
"Greensborough, 1/8 Paterson Cr, 3088",-37.709924,145.109979
"Glenroy, 18 Pengana Av, 3046",-37.7092716,144.9069017
"Kensington, 18 Peppercorn Wk, 3031",-37.7921491,144.9225176
"Donvale, 18 Pine Rdg, 3111",-37.7905232,145.1780534
"Oak Park, 18 Plumpton Av, 3046",-37.7137231,144.9239181
"Pascoe Vale, 1/8 Quick St, 3044",-37.7215929,144.9306255
"Sunshine West, 18 Rautman Cr, 3020",-37.8028457,144.8277932
"Richmond, 18 Reeves Cr, 3121",-37.8210925,145.0039977
"Doncaster, 1/8 Ruda St, 3108",-37.7903681,145.1084785
"Balwyn North, 1/8 Severn St, 3104",-37.7936696,145.0700585
"Hoppers Crossing, 18 Smeaton Av, 3029",-37.8740087,144.6926657
"Oak Park, 18 Summit Av, 3046",-37.7150882,144.913693
"Eltham, 1/8 Taylor St, 3095",-37.7170611,145.1486346
"Watsonia, 1/8 Tennyson St, 3087",-37.7080947,145.0818536
"Heidelberg West, 18 Tobruk Av, 3081",-37.7477893,145.0431778
"Bayswater, 1/8 Tracey St, 3153",-37.8531829,145.2587625
"Glenroy, 1/8 View St, 3046",-37.6970055,144.9364498
"South Morang, 18 Warbler Wk, 3752",-37.6580433,145.0928682
"Burnside Heights, 18 Wilkins Cr, 3023",-37.7310616,144.7541303
"Viewbank, 18 Willa Av, 3084",-37.7326836,145.0849283
"Burwood East, 18 Worthing Av, 3151",-37.857184,145.1543814
"Preston, 18 Youngman St, 3072",-37.7349252,145.0062467
"South Melbourne, 1903/50 Albert Rd, 3205",-37.8340507,144.9713202
"Docklands, 1905/1 Point Park Cr, 3008",-37.8236836,144.9413555
"Kew, 1/908 Glenferrie Rd, 3101",-37.8089438,145.0381259
"Southbank, 1909/80 Clarendon St, 3006",-37.8270709,144.9575697
"Reservoir, 1/90 Pine St, 3073",-37.716409,144.998698
"Southbank, 191/173 City Rd, 3006",-37.8243207,144.9622332
"Melbourne, 1913/228 Abeckett St, 3000",-37.8101911,144.9566043
"Melbourne, 1915/250 Elizabeth St, 3000",-37.8126809,144.9629047
"Port Melbourne, 19/174 Esplanade Pl, 3207",-37.8358266,144.9473664
"Clifton Hill, 19/184 Noone St, 3068",-37.7940311,144.9989546
"Reservoir, 1/91 Darebin Bvd, 3073",-37.7040188,145.0300734
"Reservoir, 1/91 Thackeray Rd, 3073",-37.7209711,145.0077136
"West Footscray, 19/22 Blandford St, 3012",-37.7947257,144.8771948
"Templestowe Lower, 19/246 High St, 3107",-37.7702196,145.1174755
"Westmeadows, 192A Johnstone St, 3049",-37.6796154,144.8991393
"Richmond, 19/2 New St, 3121",-37.813338,144.9925259
"Ormond, 19/30 Lillimur Rd, 3204",-37.9014207,145.0418536
"Melbourne, 19/30 Queens Rd, 3000",-37.8428189,144.975883
"Bentleigh East, 1/932 Centre Rd, 3165",-37.9240448,145.0812467
"viewbank, 1/95 lyon Rd, 3084",-37.7332334,145.0876836
"Flemington, 19/60 Farnham St, 3031",-37.7825628,144.9310679
"Northcote, 1/96 Jenkins St, 3070",-37.7658869,145.0131171
"Mentone, 1/96 Latrobe St, 3194",-37.9748345,145.0640081
"Surrey Hills, 1/970 Riversdale Rd, 3127",-37.836044,145.0973182
"South Morang, 19/74 Thomas St, 3752",-37.652375,145.092575
"North Melbourne, 19/76 Haines St, 3051",-37.798119,144.9453308
"Keilor East, 1/97 Arcade Wy, 3033",-37.7484894,144.8534415
"Dandenong, 1/97 Hammond Rd, 3175",-38.0000321,145.2087448
"Glenroy, 1/97 Plumpton Av, 3046",-37.7064117,144.9210249
"Maribyrnong, 1/97 Raleigh Rd, 3032",-37.7690372,144.8911548
"Coburg North, 1/97 Shorts Rd, 3058",-37.7231352,144.9529199
"South Yarra, 19/85 Alexandra Av, 3141",-37.8351382,144.9968974
"Viewbank, 19/86 Graham Rd, 3084",-37.7400208,145.0812442
"Fitzroy North, 19/86 Queens Pde, 3068",-37.7917561,144.9823992
"Bentleigh East, 1/987 Centre Rd, 3165",-37.923344,145.078083
"Thornbury, 1/98 Normanby Av, 3071",-37.7583875,144.991073
"Northcote, 199 Clarke St, 3070",-37.7765539,144.998556
"Prahran, 1/99 York St, 3181",-37.8488897,144.9983044
"Hampton East, 19a Apex Av, 3188",-37.9377483,145.0260441
"Bentleigh East, 19a Birdwood St, 3165",-37.9100688,145.0835607
"Bentleigh, 19a Huntley Rd, 3204",-37.912476,145.0261843
"Yarraville, 19A Kingston St, 3013",-37.8148787,144.881535
"Preston, 1/9 Albert St, 3072",-37.7525257,145.0206991
"Brunswick West, 19a Manica St, 3055",-37.7728459,144.9395165
"Burwood, 19 Ardenne Cl, 3125",-37.8587848,145.1116104
"Wyndham Vale, 19 Ashburton Av, 3024",-37.8823164,144.6052824
"Hampton, 19a Swyer St, 3188",-37.9456872,145.0206246
"Keilor East, 19a Wyong St, 3033",-37.734677,144.8656927
"Brighton, 19b Brickwood St, 3186",-37.895443,144.9974478
"Brighton, 19B Brickwood St, 3186",-37.895443,144.9974478
"Balwyn, 19 Belgrove Av, 3103",-37.8049244,145.0837389
"Hampton East, 19B Heath Cr, 3188",-37.9367247,145.0290161
"Bentleigh, 19b Howell St, 3204",-37.9297849,145.0339875
"Surrey Hills, 1/9 Boronia St, 3127",-37.8327349,145.103548
"Brighton East, 19 Bourneville Av, 3187",-37.9292774,145.0199599
"Sandringham, 19B Reno Rd, 3191",-37.958627,145.0223591
"Burwood, 1/9 Bronte Av, 3125",-37.8474919,145.1221423
"Burwood, 19 Bronte Av, 3125",-37.8475511,145.1230939
"Bulleen, 1/9 Bruce St, 3105",-37.7757592,145.1016914
"Sunshine West, 19 Buckingham Cr, 3020",-37.8003668,144.8275807
"Brighton East, 1/9 Burwah Av, 3187",-37.9213814,145.0200363
"Sunbury, 19 Casey Av, 3429",-37.567937,144.7232056
"Mount Waverley, 1/9 Charlton St, 3149",-37.8826007,145.1256041
"Brighton East, 19 Cheeseman Av, 3187",-37.9074991,145.0203058
"Balwyn North, 1/9 Citron Av, 3104",-37.7945761,145.1002923
"Altona North, 19 Cleghorn Av, 3025",-37.834287,144.8604087
"Beaumaris, 19 Cloris Av, 3193",-37.981737,145.0360876
"Burwood, 19 Cookson Wy, 3125",-37.8581005,145.1098266
"Camberwell, 19 Currajong Av, 3124",-37.8383787,145.0580519
"Pascoe Vale, 19 Dale Av, 3044",-37.7335066,144.9392553
"Caulfield, 1/9 Daniell Cr, 3162",-37.8841276,145.0355278
"Keysborough, 19 Denmark Rd, 3173",-38.0033658,145.1702228
"Ascot Vale, 19 Dunlop Av, 3032",-37.778587,144.9201414
"MacLeod, 19 Dwyer St, 3085",-37.7278742,145.0635449
"Camberwell, 19 Ellsworth Cr, 3124",-37.8412118,145.0873724
"Yallambie, 1/9 Elonera Av, 3085",-37.720912,145.103776
"Burwood, 1/9 Farleigh Av, 3125",-37.8454672,145.1224631
"Craigieburn, 19 Fermont Av, 3064",-37.5813147,144.913007
"Westmeadows, 19 Forman St, 3049",-37.6796737,144.8883567
"Bentleigh East, 1/9 Francesco St, 3165",-37.9196617,145.0558676
"Ringwood East, 1/9 Freeman St, 3135",-37.8100381,145.2487777
"Mernda, 19 Friesian St, 3754",-37.5862345,145.0815475
"Cheltenham, 1/9 Glebe Av, 3192",-37.9691172,145.0519236
"Yallambie, 19 Goulburn Gr, 3085",-37.7190464,145.0979088
"Kew, 1/9 Henry St, 3101",-37.8119188,145.0230869
"Sunbury, 19 Higgins Av, 3429",-37.5697982,144.7251651
"MacLeod, 19 Hinkler Av, 3085",-37.7195155,145.0751317
"Balwyn North, 19 Jocelyn Av, 3104",-37.7930052,145.1060085
"Oak Park, 19 John St, 3046",-37.7210534,144.9147978
"Glenroy, 19 Justin Av, 3046",-37.7050705,144.9334416
"Templestowe Lower, 19 Kanooka Av, 3107",-37.7680923,145.1151527
"Melton South, 19 Kingsford Av, 3338",-37.6974259,144.5769747
"Airport West, 1/9 Kitson Cr, 3042",-37.7274679,144.8802159
"Avondale Heights, 19 Lake St, 3034",-37.7574867,144.8585758
"Ashburton, 19 Lancaster St, 3147",-37.8682925,145.088759
"Melton South, 19 Lang Rd, 3338",-37.6919254,144.5740142
"Camberwell, 19 Lansell Cr, 3124",-37.8361593,145.0696488
"South Yarra, 19 Lara St, 3141",-37.8445579,144.9916231
"Mount Waverley, 19 Larch Cr, 3149",-37.8659699,145.1453576
"Preston, 19 Latona Av, 3072",-37.746028,144.9897827
"Ardeer, 19 Lawrence St, 3022",-37.7806271,144.8018334
"Hampton, 19 Lawson St, 3188",-37.9331623,145.0220785
"MacLeod, 1/9 Leigh Ct, 3085",-37.7191757,145.0874125
"Balwyn North, 1/9 Lime Av, 3104",-37.7938995,145.1006887
"Hawthorn, 19 Linda Cr, 3122",-37.8190468,145.0306273
"MacLeod, 19 Lindsay St, 3085",-37.7182795,145.0772599
"Reservoir, 19 Liston Av, 3073",-37.6978045,145.0185291
"Reservoir, 1/9 Loddon Av, 3073",-37.7233101,145.0264958
"Bentleigh East, 19 Ludwell Cr, 3165",-37.9248107,145.0736215
"Croydon, 19 Marcus Rd, 3136",-37.7905783,145.2583724
"Lalor, 1/9 Maxwell St, 3075",-37.670959,145.0242428
"Frankston, 19 Meerlu Av, 3199",-38.1461209,145.1572088
"Malvern East, 19 Millewa Av, 3145",-37.8838319,145.0748151
"Thomastown, 19 Millgrove Av, 3074",-37.6725042,144.9923389
"Newport, 19 Oxford St, 3015",-37.8401119,144.8762896
"Aberfeldie, 19 Park Cr, 3040",-37.7598596,144.9033122
"Sunshine West, 19 Pickersgill Av, 3020",-37.80143,144.8193364
"Pascoe Vale, 1/9 Plymouth Av, 3044",-37.7214142,144.9417598
"Alphington, 1/9 Roemer Cr, 3078",-37.7859918,145.0306259
"Sunshine North, 1/9 Rosewall St, 3020",-37.7672879,144.8336067
"Seabrook, 19 Spindrift Wy, 3028",-37.8862117,144.7533795
"Melton South, 19 Sutherland Av, 3338",-37.7011185,144.5790636
"Aspendale, 19 Third Av, 3195",-38.0310234,145.1068405
"Malvern East, 1/9 Tollington Av, 3145",-37.8666445,145.0536042
"Sunshine West, 19 Valentine Cr, 3020",-37.8026416,144.8118755
"Sandringham, 1/9 Waltham St, 3191",-37.949071,145.003521
"Camberwell, 19 Warburton Rd, 3124",-37.8259879,145.0707073
"Maribyrnong, 1/9 Warrs Rd, 3032",-37.7700245,144.8925079
"Viewbank, 1/9 Willa Av, 3084",-37.7331809,145.0852882
"Reservoir, 19 Winter Cr, 3073",-37.7202872,145.02813
"Kew East, 19 Woolcock Av, 3102",-37.7955286,145.0448421
"Brighton East, 19 Wrixon Av, 3187",-37.9087591,145.0231912
"Sunshine West, 19 Yaralla Cr, 3020",-37.7955016,144.8101976
"Aberfeldie, 1a Arthur St, 3040",-37.7588315,144.8953221
"Hampton East, 1a Bartlett St, 3188",-37.9363477,145.0311987
"Balwyn North, 1a Beverley Ct, 3104",-37.7955041,145.0997494
"Reservoir, 1 Acheron Av, 3073",-37.7241304,145.0168071
"Camberwell, 1A Cornell St, 3124",-37.8382893,145.0875783
"Preston, 1a Goldsmith Av, 3072",-37.7336575,145.0136671
"Glen Waverley, 1a Graham St, 3150",-37.8732999,145.150967
"Mont Albert, 1a Hotham Ct, 3127",-37.8133074,145.1086473
"Brighton, 1A Laburnum Ct, 3186",-37.915988,145.00532
"Beaconsfield, 1A Lancaster Wy, 3807",-38.059835,145.3834751
"Chadstone, 1A Mudgee Ct, 3148",-37.8800977,145.1053001
"Chelsea Heights, 1A Ninth Av, 3196",-38.0436018,145.1340509
"Northcote, 1a Reid St, 3070",-37.7639132,145.0043877
"Moorabbin, 1a Rodney St, 3189",-37.9416198,145.0490503
"Kew, 1A Segtoune St, 3101",-37.8003089,145.0499709
"Glenroy, 1a Stella St, 3046",-37.7086533,144.9374037
"Camberwell, 1a Thomas St, 3124",-37.8427113,145.0961854
"Croydon, 1A Trawalla Rd, 3136",-37.8015293,145.3016638
"Richmond, 1a Tudor St, 3121",-37.8202314,145.0126797
"Hampton, 1a Walker Av, 3188",-37.9373906,145.0191545
"Bentleigh East, 1a Wamba Rd, 3165",-37.9326103,145.0529464
"Blackburn South, 1a Wicking Ct, 3130",-37.8362149,145.1520976
"Strathmore, 1 Balmoral Av, 3041",-37.7369982,144.9104551
"Armadale, 1 Barnato Gr, 3143",-37.8570224,145.0119416
"Eltham, 1 Batman Rd, 3095",-37.7088873,145.1509159
"Clayton, 1 Beddoe Av, 3168",-37.9073412,145.128462
"Templestowe Lower, 1 Benambra Dr, 3107",-37.7678454,145.1124037
"Bentleigh East, 1b Forrest St, 3165",-37.9160689,145.0775669
"Malvern East, 1B Glenbrook Av, 3145",-37.8660285,145.0552935
"Balwyn North, 1b Lemon Rd, 3104",-37.7926783,145.0998498
"Gowanbrae, 1 Bluebell Cr, 3043",-37.7061315,144.8943334
"Brighton East, 1 Bourneville Av, 3187",-37.9305157,145.0197503
"Altona North, 1B Paproth Gr, 3025",-37.8464705,144.850643
"Northcote, 1b Reid St, 3070",-37.7639132,145.0043877
"Collingwood, 1 Brewery La, 3066",-37.7823551,144.9809336
"Diamond Creek, 1 Brooks Cr, 3089",-37.6755908,145.1576337
"Seddon, 1 Browning St, 3011",-37.809258,144.8894686
"Keilor East, 1b Shelley St, 3033",-37.7432011,144.8662229
"Yarraville, 1b Stanger St, 3013",-37.8140019,144.8639863
"Brighton East, 1b Thomas St, 3187",-37.9191741,145.0224899
"Balwyn North, 1 Buchanan Av, 3104",-37.7943436,145.0779224
"Balwyn North, 1b Yeneda St, 3104",-37.8014955,145.0982477
"Pascoe Vale, 1c Adelaide St, 3044",-37.726282,144.9226926
"Hughesdale, 1 Calembeena Av, 3166",-37.9056773,145.080406
"Malvern, 1C Glenview Av, 3144",-37.8547308,145.0357079
"Canterbury, 1 Claremont Cr, 3126",-37.8293578,145.0788842
"Donvale, 1 Clements Av, 3111",-37.8021834,145.1907286
"Hawthorn, 1C Linda Cr, 3122",-37.8175919,145.0289545
"Prahran, 1 Closeburn Av, 3181",-37.8586786,145.0040158
"Reservoir, 1 Coleman Cr, 3073",-37.7211072,145.0012009
"Burwood East, 1 Cooinda Ct, 3151",-37.8522654,145.14183
"South Yarra, 1 Davis Av, 3141",-37.8419184,144.9892122
"Brighton, 1 Dawson Av, 3186",-37.8928783,144.9898535
"Glen Iris, 1D Belmont Av, 3146",-37.8585018,145.0477223
"Springvale South, 1 Denise St, 3172",-37.9648613,145.1588726
"Doncaster East, 1 Dilkara Ct, 3109",-37.7605716,145.1803301
"Camberwell, 1 Doonkuna Av, 3124",-37.8379917,145.0734522
"Glen Iris, 1e Belmont Av, 3146",-37.8584242,145.0477389
"Brighton, 1 Edmanson Av, 3186",-37.8890463,145.0004559
"Mitcham, 1e Victoria Av, 3132",-37.8146442,145.1927188
"Kew, 1 First Av, 3101",-37.8006346,145.0565943
"Sunshine North, 1 Ford Av, 3020",-37.761795,144.828138
"Clayton, 1 Glenbrook Av, 3168",-37.9068211,145.1240701
"Niddrie, 1g Newman St, 3042",-37.7349416,144.8823679
"Reservoir, 1 Grimwade St, 3073",-37.7040712,145.0058301
"Sunshine West, 1 Gum St, 3020",-37.7921097,144.8149533
"Burwood, 1 Harrison Av, 3125",-37.8541779,145.097459
"Dingley Village, 1 Holmwood Brk, 3172",-37.9804298,145.1170856
"MacLeod, 1 Hooper St, 3085",-37.7170121,145.0739105
"Keilor Downs, 1 Hotchkiss Wy, 3038",-37.7233735,144.797608
"Sunshine West, 1 Howitt Cr, 3020",-37.8013461,144.8248677
"Hampton, 1 Ivison Wy, 3188",-37.9445383,145.0087408
"Niddrie, 1j Newman St, 3042",-37.7350668,144.8823227
"Wollert, 1 Kilwarrie St, 3750",-37.61983,144.9993995
"Brighton, 1 Laburnum Ct, 3186",-37.9158,145.0052921
"Doveton, 1 Laburnum Gr, 3177",-37.9901878,145.2473502
"Keilor Lodge, 1 Laguna Cl, 3038",-37.6993871,144.8041902
"Keysborough, 1 Laidlaw Ct, 3173",-37.9825709,145.1588847
"Croydon, 1 Laird St, 3136",-37.7873215,145.3041574
"Sunbury, 1 Lambert Av, 3429",-37.5776468,144.7081066
"Beaconsfield, 1 Lancaster Wy, 3807",-38.0599313,145.3834631
"Fawkner, 1 Lanigan St, 3060",-37.7025527,144.97348
"Sunshine West, 1 Larool Cr, 3020",-37.793894,144.8116516
"Keilor Park, 1 Latrose St, 3042",-37.723025,144.8627438
"Williamstown, 1 Laverton St, 3016",-37.8630393,144.8913354
"Williamstown, 1 Lenore Cr, 3016",-37.8580554,144.895196
"Burwood, 1 Maltby Wk, 3125",-37.8468084,145.1311816
"Brunswick West, 1 Marion Av, 3055",-37.7634834,144.9408393
"Hillside, 1 Marner Av, 3037",-37.703538,144.7496569
"Reservoir, 1m Bonview St, 3073",-37.7214864,144.9898321
"Plumpton, 1 McKillop Wy, 3335",-37.7010721,144.7285413
"Mulgrave, 1 Mills Ct, 3170",-37.924461,145.1855107
"Reservoir, 1 Moira Av, 3073",-37.6928155,144.980243
"Ascot Vale, 1 Myross Av, 3032",-37.7818644,144.9036011
"Ascot Vale, 1 Nairn Av, 3032",-37.7810985,144.902526
"Deer Park, 1 Neimur Av, 3023",-37.7757217,144.7700417
"St Helena, 1 Oakbank Ct, 3088",-37.6962411,145.1346394
"Bentleigh, 1 Pascoe Av, 3204",-37.9111603,145.0247595
"Balwyn, 1 Prowse Av, 3103",-37.8141321,145.0771405
"Maidstone, 1 Rivet Wk, 3012",-37.7786413,144.8750852
"Doncaster, 1 Sentinel Wy, 3108",-37.7872114,145.105884
"Brighton East, 1 Sunnyside Av, 3187",-37.907548,145.0125609
"Avondale Heights, 1 Templewood Cr, 3034",-37.7622537,144.862616
"Eaglemont, 1 The Righi, 3084",-37.7688273,145.0565109
"Doncaster East, 1 Tidcombe Cr, 3109",-37.7576636,145.1730497
"Cairnlea, 1 Treemont Ct, 3023",-37.7592578,144.7794024
"Richmond, 1 Waltham Pl, 3121",-37.8202571,144.9973065
"Eaglemont, 1 Warringal Pl, 3084",-37.7579133,145.0556533
"Kensington, 1 Watsons Wk, 3031",-37.7907828,144.9249899
"Ashburton, 1 Wilgra Av, 3147",-37.8610634,145.089291
"Bellfield, 1 Wilkinson Cr, 3081",-37.7513216,145.0394852
"Malvern, 1 Wilks Av, 3144",-37.8490262,145.0331027
"Mount Waverley, 1 Wills Av, 3149",-37.878669,145.1378615
"Melbourne, 2009/568 Collins St, 3000",-37.8183726,144.9555337
"Southbank, 2010/118 Kavanagh St, 3006",-37.8256427,144.9622295
"Kensington, 201/102 Rankins Rd, 3031",-37.7922876,144.9310948
"Melbourne, 201/118 Russell St, 3000",-37.8134998,144.9690884
"Fitzroy North, 20/137 McKean St, 3068",-37.7884324,144.9872275
"Port Melbourne, 201/38 Nott St, 3207",-37.8415973,144.9380163
"Bentleigh, 201/39 Mavho St, 3204",-37.9184994,145.0339848
"Altona, 201/42 Kororoit Creek Rd, 3018",-37.8572966,144.8858557
"Glen Iris, 20/1553 High St, 3146",-37.8598171,145.0598891
"Maidstone, 20/15 Eucalyptus Dr, 3012",-37.7794058,144.8719894
"Footscray, 201/64 Cross St, 3011",-37.8005176,144.8810124
"Melbourne, 20/17 Queens Rd, 3000",-37.8397596,144.9747529
"Prahran, 201/8 Bangs St, 3181",-37.8518649,144.9963964
"Brunswick, 20/195 Brunswick Rd, 3056",-37.7773561,144.9643171
"Fitzroy, 201 Gore St, 3065",-37.8028189,144.9822195
"East Melbourne, 20/1 Wellington Cr, 3002",-37.8173777,144.9781787
"Surrey Hills, 20/20 Florence Rd, 3127",-37.8290421,145.1021252
"Brighton, 202/116 Martin St, 3186",-37.8973417,145.0023355
"Carnegie, 202/179 Neerim Rd, 3163",-37.8876244,145.0476269
"Bentleigh East, 202/24 Becket Av, 3165",-37.9208233,145.0553932
"Carlton North, 20/22 Grattan St, 3054",-37.8007471,144.9689708
"South Yarra, 20/22 Mona Pl, 3141",-37.8368323,144.9859372
"Parkville, 20/238 The Avenue, 3052",-37.7819129,144.9575794
"Fitzroy, 202/45 Rose St, 3065",-37.7956128,144.9769628
"Richmond, 202/47 Murphy St, 3121",-37.8176107,145.0083708
"Northcote, 202/68 Gadd St, 3070",-37.7623181,144.9897475
"Kooyong, 202/723 Toorak Rd, 3144",-37.8441744,145.0358386
"Hawthorn, 202/7 Riversdale Rd, 3122",-37.8276244,145.0262357
"Epping, 202/82 Epping Rd, 3076",-37.6304386,145.0285237
"Epping, 202/88 Epping Rd, 3076",-37.6296927,145.0289889
"Ivanhoe, 202/979 Heidelberg Rd, 3079",-37.7766212,145.0377842
"Brunswick East, 20/29 Nunan St, 3057",-37.7602715,144.9794992
"Dallas, 202 Railway Cr, 3047",-37.6668391,144.9254471
"Mill Park, 20/2 Stillman Dr, 3082",-37.6544212,145.0742868
"Prahran, 20/30 Porter St, 3181",-37.8498237,144.9901586
"Yarraville, 203/109 Anderson St, 3013",-37.8164738,144.8871549
"Murrumbeena, 203/113 Poath Rd, 3163",-37.8953567,145.0763998
"Carnegie, 203/179 Neerim Rd, 3163",-37.8876244,145.0476269
"Malvern, 203/1 Norfolk Pl, 3144",-37.8491685,145.0321202
"East Melbourne, 203/1 Powlett St, 3002",-37.8161068,144.9849473
"St Kilda, 203/24 Crimea St, 3182",-37.8599061,144.9881633
"Melbourne, 203/350 La Trobe St, 3000",-37.8106905,144.9592848
"Port Melbourne, 20/33 Princes St, 3207",-37.8395723,144.936013
"Kensington, 203/60 Speakmen St, 3031",-37.7940545,144.9166719
"Bentleigh East, 203/650 Centre Rd, 3165",-37.9206812,145.05419
"Mont Albert, 203/766 Whitehorse Rd, 3127",-37.8166647,145.1118362
"Maribyrnong, 203/77 Village Wy, 3032",-37.7711648,144.8804245
"South Yarra, 203/8 Murphy St, 3141",-37.8380834,144.9905137
"Mount Waverley, 203 Lawrence Rd, 3149",-37.8720828,145.1417825
"Brunswick, 204/10 Charles St, 3056",-37.7735292,144.9638134
"Highett, 204/1 Major St, 3190",-37.9481318,145.0394965
"Collingwood, 204/2 Johnston St, 3066",-37.7988299,144.9847331
"Maribyrnong, 204/32 La Scala, 3032",-37.7812108,144.8935385
"Melbourne, 204/368 Little Collins St, 3000",-37.8153082,144.9623021
"Malvern, 204/36 Bonview Rd, 3144",-37.8528145,145.0377977
"Elsternwick, 204/37 Park St, 3185",-37.878881,145.0127542
"Melbourne, 20/449 St Kilda Rd, 3000",-37.8401683,144.9774488
"Collingwood, 204/55 Islington St, 3066",-37.8074415,144.9906621
